East Asia & Pacific,EAS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,11.3801659427221
East Asia & Pacific (excluding high income),EAP,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,7.68152212260864
East Asia & Pacific (IDA & IBRD countries),TEA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,7.53434882911609
Euro area,EMU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.7811274641597
Europe & Central Asia,ECS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.0868438047465
Europe & Central Asia (excluding high income),ECA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.0040733498026
Europe & Central Asia (IDA & IBRD countries),TEC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.8693422368951
European Union,EUU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.9141604413371
Fragile and conflict affected situations,FCS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,22.935671269524
Heavily indebted poor countries (HIPC),HPC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,30.9512966366657
High income,HIC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.6856414927156
IBRD only,IBD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,12.4341116396848
IDA & IBRD total,IBT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.2649287396275
IDA blend,IDB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.8606359272314
IDA only,IDX,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,30.5561006223723
IDA total,IDA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.9288235486999
Late-demographic dividend,LTE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,10.3267873348999
Latin America & Caribbean,LCN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.51583026241
Latin America & Caribbean (excluding high income),LAC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,22.5225601040284
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.1612211724502
Least developed countries: UN classification,LDC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.0570347394405
Low & middle income,LMY,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.1943278439181
Low income,LIC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,30.5106108898016
Lower middle income,LMC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.8003098721303
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.7062346607332
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.8990559304468
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.925364721724
Middle income,MIC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,14.0688882498548
North America,NAC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,8.01072099671812
Not classified,INX,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
OECD members,OED,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.9658118270291
Other small states,OSS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Pacific island small states,PSS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Post-demographic dividend,PST,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.3644584115718
Pre-demographic dividend,PRE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.4366712701291
Small states,SST,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
South Asia,SAS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,9.71948317874139
South Asia (IDA & IBRD),TSA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,9.71948317874139
Sub-Saharan Africa,SSF,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.6657563004612
Sub-Saharan Africa (excluding high income),SSA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.1056903076004
Sub-Saharan Africa (IDA & IBRD countries),TSS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.6657563004612
Upper middle income,UMC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,11.5929942985251
World,WLD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,16.0525279015853
